painting_name,shape_reference,generator_prompt,negative_prompt,prompt_package
Gesture as a brush 2026-03-14 09-25-22,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, varied brush directions, curving brush movement, rhythmic repetition inspired by 0.84 Hz, layered repeating patterns","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, varied brush directions, curving brush movement, rhythmic repetition inspired by 0.84 Hz, layered repeating patterns

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-27-32,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 1.34 Hz, layered repeating patterns","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 1.34 Hz, layered repeating patterns

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-28-14,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 0.91 Hz, layered repeating patterns","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 0.91 Hz, layered repeating patterns

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-28-58,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.37 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.37 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-29-33,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 0.35 Hz, layered repeating patterns","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 0.35 Hz, layered repeating patterns

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-30-02,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 0.35 Hz, layered repeating patterns","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 0.35 Hz, layered repeating patterns

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-30-38,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.37 Hz, some repeated motifs","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, subtle rhythmic structure around 2.37 Hz, some repeated motifs

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-31-14,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 1.00 Hz, layered repeating patterns","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 1.00 Hz, layered repeating patterns

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-31-46,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 0.87 Hz, layered repeating patterns","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 0.87 Hz, layered repeating patterns

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
Gesture as a brush 2026-03-14 09-32-27,heart,"abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 1.71 Hz, layered repeating patterns","photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration","PROMPT:
abstract expressionist acrylic painting on canvas, visible brush strokes, rich acrylic paint texture, expressive abstract composition, painterly style, bold saturated colors, heavy impasto paint, high contrast, energetic brush strokes, fragmented brush strokes, sharp broken edges, subtle paint splatter, fragmented painterly style brushwork, circular swirling composition, spiral brush motion, radial energy around a center, rhythmic repetition inspired by 1.71 Hz, layered repeating patterns

NEGATIVE PROMPT:
photorealistic, realistic, portrait, face, faces, people, human figure, object, objects, text, typography, letters, watermark, logo, 3d render, cartoon, anime, low resolution, blurry, flat digital illustration"
